timesteps,final_residual,final_error
4,0.002625106144900157,0.11017755934263453
8,0.0011827426949615057,0.054848742701815584
16,0.0005563683830184718,0.02700108127158318
32,0.0002690584714447815,0.013314062918427903
64,0.0001321933883325967,0.006596041957607442
128,6.550520399522772e-05,0.003280578172454321
256,3.260373102282774e-05,0.0016356228854399544
512,1.6264518905868817e-05,0.0008166050066705347
1024,8.12290642360458e-06,0.0004079971100940183
2048,4.059112889785038e-06,0.0002039247831563921
